filename,beta1,beta2,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V6_271_5fold_1_20200615153135,0.9,0.9,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153155/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153155/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153155/test/"" ",0.1223,0.2748,0.3438,0.5904,121.2048,0.1988,0.0059,0.0514,0.0949,0.2464,313.2087,0.036,0.5384
C_S_V6_271_5fold_1_20200615153335,1.0,0.0,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615193816/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615193816/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615193816/test/"" ",0.1996,0.3793,0.4608,0.6928,96.9404,0.2894,0.0104,0.0611,0.1073,0.2854,279.3114,0.0457,0.5449
C_S_V6_271_5fold_1_20200615181116,0.5,0.1,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181133/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181133/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181133/test/"" ",0.163,0.3427,0.418,0.6447,107.233,0.2509,0.015,0.0884,0.1411,0.3121,259.8186,0.0588,0.5137
C_S_V6_271_5fold_1_20200615181216,0.5,0.3,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181235/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181235/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181235/test/"" ",0.1442,0.2926,0.3699,0.5956,115.4953,0.2204,0.0117,0.0871,0.1359,0.327,259.3303,0.0581,0.541
C_S_V6_271_5fold_1_20200615181316,0.5,0.5,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181333/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181333/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181333/test/"" ",0.2059,0.3856,0.4765,0.7011,85.5914,0.2965,0.0156,0.0904,0.1489,0.327,262.1515,0.0621,0.554
C_S_V6_271_5fold_1_20200615181416,0.5,0.7,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181432/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181432/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181432/test/"" ",0.163,0.3386,0.4357,0.6635,101.4504,0.2519,0.013,0.0865,0.1378,0.3199,269.0241,0.0572,0.5423
C_S_V6_271_5fold_1_20200615181646,0.1,0.1,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181704/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181704/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181704/test/"" ",0.1108,0.2435,0.3271,0.5716,117.6761,0.1853,0.0293,0.1671,0.2191,0.383,237.238,0.0979,0.329
C_S_V6_271_5fold_1_20200615181746,0.1,0.3,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181804/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181804/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181804/test/"" ",0.0888,0.2518,0.3177,0.5643,124.2968,0.1679,0.0319,0.1678,0.2256,0.4083,215.4447,0.1006,0.4395
C_S_V6_271_5fold_1_20200615181846,0.1,0.5,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181906/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181906/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181906/test/"" ",0.1358,0.3041,0.4117,0.6928,88.7586,0.2273,0.0273,0.1756,0.2367,0.4506,211.2516,0.1035,0.3914
C_S_V6_271_5fold_1_20200615181946,0.1,0.7,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615182006/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615182006/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615182006/test/"" ",0.2299,0.4692,0.5768,0.7931,68.4974,0.3458,0.0306,0.2328,0.3095,0.5104,172.8062,0.1323,0.0143
